"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"PROD_ID";"VALUE";
"7";"";"PINHD-1X1_LARGE";"1X01_LARGE";"INP1, INP2, INP3, INP4, INP5, INP6, INP7";"PIN HEADER";"";"";"";
"1";"";"PINHD-1X4";"1X04";"CN2";"PIN HEADER";"";"";"";
"1";"";"PINHD-1X6";"1X06";"FTDI";"PIN HEADER";"";"";"";
"3";"0.1uF";"C-USC0603";"C0603";"C2, C4, C7";"CAPACITOR, American symbol";"";"";"";
"1";"1 MISO";"SMD2";"SMD1,27-2,54";"_";"SMD PAD";"";"";"";
"3";"100nF";"C-USC0603";"C0603";"C3, C6, C10";"CAPACITOR, American symbol";"";"";"";
"5";"10K";"R-US_R0603";"R0603@1";"R2, R3, R4, R5, R11";"RESISTOR, American symbol";"";"";"";
"1";"10nF";"C-USC1206";"C1206";"C1";"CAPACITOR, American symbol";"";"";"";
"1";"16V/1A";"PPTC_HALF-AMP";"1206";"F1";"Resettable Fuse PPTC";"";"RES-08585";"6V/0.5A";
"2";"1k";"R-EU_R0603";"R0603";"R1, R7";"RESISTOR, European symbol";"";"";"";
"1";"2";"SMD2";"SMD1,27-2,54";"VCC";"SMD PAD";"";"";"";
"2";"22pF";"C-USC0603";"C0603";"C8, C9";"CAPACITOR, American symbol";"";"";"";
"1";"3 SCK";"SMD2";"SMD1,27-2,54";"__";"SMD PAD";"";"";"";
"1";"4";"SMD2";"SMD1,27-2,54";"MOSI";"SMD PAD";"";"";"";
"1";"4.7K";"R-US_R0603";"R0603@1";"R6";"RESISTOR, American symbol";"";"";"";
"1";"5 RST";"SMD2";"SMD1,27-2,54";"___";"SMD PAD";"";"";"";
"1";"6";"SMD2";"SMD1,27-2,54";"GND";"SMD PAD";"";"";"";
"1";"6V/0.5A";"PPTC_HALF-AMP";"1206";"F2";"Resettable Fuse PPTC";"";"RES-08585";"6V/0.5A";
"1";"78M05";"MC78M05ABDT";"DPACK_3";"IC3";"500 mA Positive Voltage Regulators";"0";"";"";
"1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"U3";"Popular 328P in QFP";"";"IC-09069";"ATMEGA328P_TQFP";
"1";"HC49";"CRYSTALS-NOGND-HC49";"HC49";"16MHZ";"CRYSTALS CAN NOT GROUNDED";"";"";"";
"2";"JMP";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"JP1, JP2";"Normally open jumper";"";"";"";
"2";"MCP4725";"MCP4725SOT-23";"SOT23-6";"U1, U2";"MCP4725 DAC";"";"IC-08886";"MCP4725";
"1";"PWR";"LEDCHIPLED_0805";"CHIPLED_0805";"LED6";"LED";"52";"";"";
"1";"SS12";"DIODE-DO214AC";"DO214AC";"D1";"DIODE";"";"";"";
"1";"SS34";"DIODE-DO214AC";"DO214AC";"D2";"DIODE";"";"";"";
"1";"STATUS";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1";"LED";"52";"";"";
